timestamp,ecg,acc,temp,ir,red
1969CC1F013,818,NR,NR,1D9E4,1DEBC
1969CC1F016,833,NR,NR,NR,NR
1969CC1F01D,8C4,NR,NR,1DA14,1DA45
1969CC1F020,819,NR,NR,NR,NR
1969CC1F024,NR,NR,NR,1DA14,1DA45
1969CC1F027,87E,NR,NR,NR,NR
1969CC1F02B,8CB,NR,NR,NR,NR
1969CC1F02E,NR,NR,NR,1DA14,1DA45
1969CC1F031,816,NR,NR,NR,NR
1969CC1F035,7F4,NR,NR,NR,NR
1969CC1F03C,8C0,NR,NR,1DA14,1DA45
1969CC1F03F,8B3,NR,NR,NR,NR
1969CC1F042,7F5,NR,NR,1DA83,1D6E5
1969CC1F046,7E6,NR,NR,NR,NR
1969CC1F049,85E,NR,NR,NR,NR
1969CC1F04D,8CE,NR,NR,1DA83,1D6E5
1969CC1F050,873,NR,NR,NR,NR
1969CC1F053,826,NR,NR,NR,NR
1969CC1F057,NR,NR,NR,1DA83,1D6E5
1969CC1F05A,872,NR,NR,NR,NR
1969CC1F05E,8D0,NR,NR,NR,NR
1969CC1F061,88F,NR,NR,1DA83,1D6E5
1969CC1F064,840,NR,NR,NR,NR
1969CC1F068,80E,NR,NR,NR,NR
1969CC1F06F,8C6,NR,NR,1DB3F,1D62E
1969CC1F072,87E,NR,NR,NR,NR
1969CC1F076,NR,NR,NR,1DB3F,1D62E
1969CC1F079,7F0,NR,NR,NR,NR
1969CC1F07C,897,NR,NR,NR,NR
1969CC1F080,8D0,NR,NR,1DB3F,1D62E
1969CC1F087,812,NR,NR,NR,NR
1969CC1F08A,837,NR,28.25,1DB3F,1D62E
1969CC1F08D,8EA,NR,NR,NR,NR
1969CC1F091,913,0.97,NR,NR,NR
1969CC1F094,87F,NR,NR,1D8AD,1D7E9
1969CC1F09B,8BC,NR,NR,1D8AD,1D7E9
1969CC1F0A2,937,NR,NR,NR,NR
1969CC1F0A6,8D0,NR,NR,NR,NR
1969CC1F0A9,890,NR,NR,1D8AD,1D7E9
1969CC1F0AC,8E3,NR,NR,NR,NR
1969CC1F0B0,937,NR,NR,NR,NR
1969CC1F0B3,912,NR,NR,1D8AD,1D7E9
1969CC1F0B6,896,NR,NR,NR,NR
1969CC1F0BA,NR,NR,NR,1D867,1D9A5
1969CC1F0BD,8D9,NR,NR,NR,NR
1969CC1F0C1,951,NR,NR,NR,NR
1969CC1F0C4,93E,NR,NR,NR,NR
1969CC1F0C7,8B8,NR,NR,1D867,1D9A5
1969CC1F0CB,861,NR,NR,NR,NR
1969CC1F0CE,89C,NR,NR,1D867,1D9A5
1969CC1F0D2,8E8,NR,NR,NR,NR
1969CC1F0D5,8C2,NR,NR,NR,NR
1969CC1F0D8,841,NR,NR,NR,NR
1969CC1F0DC,7CB,NR,NR,1D867,1D9A5
1969CC1F0DF,861,NR,NR,NR,NR
1969CC1F0E6,838,NR,NR,1D8E2,1D8DE
1969CC1F0E9,7C9,NR,NR,NR,NR
1969CC1F0F0,875,NR,NR,1D8E2,1D8DE
1969CC1F0F4,899,NR,NR,NR,NR
1969CC1F0F7,87E,NR,NR,NR,NR
1969CC1F0FB,7DB,NR,NR,1D8E2,1D8DE
1969CC1F0FE,7B0,NR,NR,NR,NR
1969CC1F101,7DA,NR,NR,1D8E2,1D8DE
1969CC1F105,880,NR,NR,NR,NR
1969CC1F108,7F0,NR,NR,NR,NR
1969CC1F10F,7A3,NR,NR,1D91A,1D9E4
1969CC1F112,80D,NR,NR,NR,NR
1969CC1F116,NR,NR,NR,1D91A,1D9E4
1969CC1F119,70B,NR,NR,NR,NR
1969CC1F11D,6E9,NR,NR,NR,NR
1969CC1F120,876,NR,NR,1D91A,1D9E4
1969CC1F123,A75,NR,NR,NR,NR
1969CC1F127,BE9,NR,NR,NR,NR
1969CC1F12A,NR,NR,NR,1D91A,1D9E4
1969CC1F12E,B93,NR,NR,NR,NR
1969CC1F131,B6B,NR,NR,NR,NR
1969CC1F134,A87,NR,NR,1D790,1DA3C
1969CC1F138,8FB,NR,NR,NR,NR
1969CC1F13B,79D,NR,NR,NR,NR
1969CC1F13F,59A,NR,NR,1D790,1DA3C
1969CC1F142,5A4,NR,NR,NR,NR
1969CC1F146,62D,NR,NR,NR,NR
1969CC1F149,66C,NR,NR,1D790,1DA3C
1969CC1F14C,617,NR,NR,NR,NR
1969CC1F150,61E,NR,NR,NR,NR
1969CC1F153,6C7,NR,NR,1D790,1DA3C
1969CC1F157,7CB,NR,NR,NR,NR
1969CC1F15A,7E6,NR,NR,NR,NR
1969CC1F15E,785,NR,NR,1D886,1D8AF
1969CC1F161,78A,NR,NR,NR,NR
1969CC1F165,7B1,NR,NR,NR,NR
1969CC1F168,879,NR,NR,1D886,1D8AF
1969CC1F16B,82E,NR,NR,NR,NR
1969CC1F16F,7C5,NR,NR,NR,NR
1969CC1F172,7C3,NR,NR,1D886,1D8AF
1969CC1F176,853,NR,NR,NR,NR
1969CC1F179,89A,NR,NR,NR,NR
1969CC1F180,7D7,NR,NR,1D886,1D8AF
1969CC1F187,892,NR,NR,1DB00,1D96C
1969CC1F18A,8C5,NR,NR,NR,NR
1969CC1F18E,88B,NR,NR,NR,NR
1969CC1F191,7F0,0.99,NR,1DB00,1D96C
1969CC1F194,831,NR,NR,NR,NR
1969CC1F198,8BF,NR,NR,1DB00,1D96C
1969CC1F19B,8EB,NR,NR,NR,NR
1969CC1F19F,890,NR,NR,NR,NR
1969CC1F1A2,81C,NR,NR,NR,NR
1969CC1F1A6,82B,NR,NR,1DB00,1D96C
1969CC1F1A9,8DE,NR,NR,NR,NR
1969CC1F1AC,NR,NR,NR,1D8B7,1D897
1969CC1F1B0,871,NR,NR,NR,NR
1969CC1F1B3,823,NR,NR,NR,NR
1969CC1F1B7,872,NR,NR,1D8B7,1D897
1969CC1F1BA,8FA,NR,NR,NR,NR
1969CC1F1BE,8D0,NR,NR,NR,NR
1969CC1F1C1,85F,NR,NR,1D8B7,1D897
1969CC1F1C4,835,NR,NR,NR,NR
1969CC1F1C8,850,NR,NR,NR,NR
1969CC1F1CB,8D0,NR,NR,NR,NR
1969CC1F1CF,8F2,NR,NR,1D8B7,1D897
1969CC1F1D2,892,NR,NR,NR,NR
1969CC1F1D5,88C,NR,NR,1D8B9,1DA3E
1969CC1F1D9,8FD,NR,NR,NR,NR
1969CC1F1DC,94F,NR,NR,NR,NR
